,index,username,score,category
284,146987,a_millie97,0.00219132,r
285,140906,AZDartGuy,0.00220001,o
286,61815,shinytoyrobots,0.00221488,o
287,11521,telecom2k3,0.00221678,r
288,95480,scott4indy,0.00223402,o
289,139797,Halfphild,0.0022374,o
290,122029,_shit_down,0.00224381,r
291,105204,whistleconcert,0.00224608,o
292,36975,MultiGamemaster,0.00226383,r
293,24788,lakoBAMF,0.00227159,o
294,121741,hirolightstar,0.00227252,o
295,16405,tiffanycwilson3,0.00227511,r
296,91599,IvarChristians1,0.00228771,r
297,124653,Joshua_12k,0.00228919,r
298,19862,EdOverbeek,0.00229254,o
299,80215,kimspout,0.0022978,r
300,50730,MPleasing71,0.00229803,o
301,145751,2happyPat,0.00229972,r
302,133389,TTsheik,0.00230406,o
303,3425,karmaizzabihh,0.00230966,o
304,56523,cherrysodapjm,0.00231437,r
305,75074,chlo_rinated,0.0023159,r
306,88582,realJoeBarnes,0.00231843,o
307,71432,interloper00700,0.0023222,o
308,116454,MrYyEaRnS,0.00232769,o
309,110008,Magic_Nipples,0.00233756,o
310,22592,DjZanD,0.00234156,r
311,97922,TheSamuelEdward,0.00234297,o
312,26141,AHM0___0,0.00235851,o
313,55075,Daradol1,0.00237872,r
314,49603,torihelenemusic,0.00237917,o
315,47235,winkgnz,0.0023887,o
316,132374,nicvcio,0.00239945,o
317,109239,Rand_Simberg,0.0024064,r
318,103342,oz_bruce,0.00241958,o
319,70360,MTLL94,0.0024287,r
320,140321,ReikiJC,0.00243146,o
321,138306,misazulu,0.00245991,o
322,70683,WinemakerGlen,0.00246415,o
323,110410,maplemarkle,0.00248726,o
324,792,ChromaHills,0.00248936,o
325,13745,DeLoachJW,0.00250162,o
326,65640,karenruubi_,0.00250576,o
327,20142,Cupcakesn_wine,0.00250757,o
328,118930,WzrdKellyYall,0.00251527,o
329,123547,facetedfae,0.00252593,r
330,137531,fuckfeelings_xo,0.00254513,o
331,14427,BoogaardJadyn,0.00254694,o
332,4963,crisdee7,0.00255199,o
333,13526,GaryPetko,0.00255295,o
334,145275,saintyely,0.00255448,r
335,133160,Only__michy,0.00255913,o
336,4584,AyyItsNewman,0.00256815,o
337,64169,Tribulation7,0.00259311,r
338,28199,icebogus,0.00259631,o
339,88980,arnarleir,0.00261623,r
340,41910,AnnieOrrsome,0.0026257,o
341,18401,TheDirtyLlama,0.00262571,o
342,86518,kreggie10,0.0026318,o
343,113854,emiliekathleen_,0.0026355,o
344,91344,MrNovember22,0.00264313,r
345,145140,CJChristian7,0.00264365,o
346,16548,JoseSweatShirt_,0.00264406,r
347,127452,CDNMisanthrope,0.00265584,o
348,109179,timshiel,0.00266259,r
349,139695,sam__fields,0.00267175,r
350,67215,mccullermi,0.00268464,r
351,31172,PsychSavant,0.00268497,o
352,148817,jimtheblase,0.00269094,o
353,43583,modelcitizenguy,0.00270477,o
354,6474,erikaliveta,0.00271106,o
355,98144,wholesomekiana,0.00271222,r
356,76549,rgstone1,0.00271991,o
357,41409,victrola78,0.00272555,o
358,127389,islandergian,0.00272782,r
359,53809,AtreiyaN7,0.00274702,r
360,34320,stephenhartman,0.0027558,o
361,19489,UnevenEarth,0.00275647,r
362,56356,elektrotal,0.00275679,o
363,97163,CA_NPP,0.00275711,r
364,40885,MrsloefflerLhs,0.00276178,r
365,63161,red_mercer,0.00276669,o
366,1921,manistear,0.00277368,r
367,66569,phat7deuce,0.00277437,o
368,137282,mohiclaire,0.00277597,r
369,35944,rollbama1970,0.00278609,r
370,39311,hsdsd79,0.00279435,o
371,124520,ChrisHongTU,0.00279788,r
372,141329,curried369,0.00279991,r
373,49948,Genova_Jane,0.00280466,o
374,146627,ThatLAD_joey,0.00281969,o
375,4873,kimGotaloVe,0.00283151,r
376,112161,G_WWG1WGA,0.00283541,r
377,139821,CourtneyBoulder,0.00283696,o
378,134900,LokiPolchies,0.00283932,o
379,112595,spensergabin,0.00285237,o
380,83785,NYCPriest,0.00287334,o
381,75038,disparias,0.00289021,o
382,86545,TaylorAllen133,0.00289706,o
383,65843,JoelMcCarty1,0.00291283,r
384,121377,SUISLAROSE,0.00291601,o
385,108766,joey_graziano,0.00293946,r
386,113409,RsniperC,0.00294221,r
387,56322,S_U_Render,0.0029431,o
388,128181,ImNobodysMuppet,0.00296421,o
389,98333,94ddaeng,0.00297123,o
390,50625,CellBioJosh,0.0029726,o
391,124483,EmberlyBrooke,0.00297474,o
392,99232,wubuf,0.00298027,r
393,145296,politicworm1,0.00299063,o
394,77211,yonceduckworth,0.00300413,o
395,32703,danielroyyyy,0.00300919,r
396,118239,AleishaSimpson,0.00300945,r
397,16626,TheFunnycator,0.00301425,r
398,48456,3stakkss,0.00302639,r
399,24546,svvfy,0.0030282,r
400,36890,TheJimmyMurray,0.00302908,o
401,20173,SherLeexo,0.00306186,o
402,102762,bigdatakpi,0.00306314,o
403,75295,90sboyfriend,0.00306772,o
404,12884,SingingdrumPam,0.00307345,r
405,113752,JennieChrist16,0.00307883,o
406,128036,listbot3000,0.00309241,r
407,112301,NameIs_Maya,0.00309539,o
408,45196,KatasioGaming,0.00310177,o
409,70513,Celticman51,0.00312021,r
410,20537,lowfatmylk,0.00312043,r
411,60103,CoalSpider,0.00312934,o
412,118524,adam_messinger,0.00313943,r
413,56918,max_miley,0.00316129,o
414,31801,jamescappio,0.00317375,o
415,63709,totalimmoral,0.00317649,r
416,117300,EaglesTD11,0.00318459,o
417,80767,Mr_Rutledge,0.00318572,o
418,985,MsBedgood_,0.00320666,o
419,35219,chewedxup,0.00321597,r
420,139963,taichantia,0.00321728,r
421,122493,_MeMeDoll,0.00322196,o
422,94005,contraribot,0.00322196,o
423,21026,kanoli_k,0.00324431,r
424,81461,MC_Chubs,0.00324457,r
425,21621,Kylee81198912,0.00325951,o
426,110782,joweIIene,0.00326983,r
427,54306,DAT_GP,0.00329743,r
428,56459,Flora1019,0.00330995,r
429,92368,DottieXgrey,0.00331128,o
430,44553,Elatha_,0.00331162,r
431,64802,24chadster,0.00331974,r
432,41083,SeanWolf2,0.00332064,r
433,87761,IivingIegends,0.00332273,o
434,83571,artxxia,0.00332634,o
435,54127,unseenhugots,0.00332786,o
436,24899,SimplyJermira,0.0033335,o
437,77226,lifen2010,0.00333746,r
438,82857,Best_LoveSaying,0.00334182,r
439,125581,PearlBeachInnFL,0.00334435,o
440,149607,Miller_Stephen1,0.00335533,r
441,145151,RV_didTHAT,0.0033556,o
442,18254,And_I_Tolerate,0.00335612,o
443,90746,sincitycomedy,0.00335657,o
444,57996,minhyunbsu,0.00336258,r
445,55880,Aschreindler,0.00338153,o
446,88861,theeonlyraven,0.00338459,r
447,43920,KennedyLaShea,0.00338752,r
448,137831,walterbigcat,0.0033919,r
449,137383,Khief_,0.00339226,r
450,3051,EliNic13,0.00340185,o
451,91626,motleyblkhawks,0.00340267,o
452,109659,_AmbitiousBillz,0.00340824,o
453,147807,CoolMaterial407,0.00340832,o
454,33299,RantRaveRandom,0.00340894,r
455,128928,_mvrissvrve,0.00341295,r
456,64120,kypros1992,0.00342031,o
457,96721,sneha0823,0.00342336,r
458,61231,backtoswift143,0.00342823,r
459,85234,alycat_05,0.00343144,r
460,26913,CoastersCentral,0.00343237,o
461,45014,marsbelden,0.00343963,o
462,80731,Carolyn73498664,0.00344718,o
463,77447,haleynxo_,0.00345436,o
464,24686,_janeciaa,0.00346446,o
465,88905,DFeuerstein,0.00346552,r
466,110726,Ona66634464,0.0034705,r
467,59729,ypeelsang,0.00347253,o
468,26499,thebeoz,0.00350124,o
469,96014,SheLion809,0.00350383,r
470,101256,Kicksandtee,0.00350383,r
471,62240,lilredrydnhd,0.00350562,o
472,96976,achickenperson,0.00353083,r
473,125421,shaynakay99,0.00353207,r
474,114627,Tay_Harmonn,0.00353605,o
475,94805,ZackLillipad,0.00354223,r
476,38478,BluThunderBomb,0.00354701,o
477,60727,MANUALFOOTY,0.00355335,r
478,49135,RockChristopher,0.00355384,o
